peptide_base,n_runs,delta_g_min,delta_g_max,delta_g_range,kp_min,kp_max,kp_ratio,theta_min,theta_max
solvia_524,2,-29.45891195671054,-16.254973599916326,13.203938356794215,30.461059921706816,4602.586306867095,151.0973787089809,4.682963168296444e-05,0.003992353549053303
solvia_858,2,-20.058920769884274,-8.58009420291803,11.478826566966244,4.192864744403646,159.74880962788626,38.1001580938446,2.741023712715246e-06,6.0420997690378705e-05
solvia_974,2,-24.436468676561347,-14.602643469895686,9.833825206665662,38.968803866457236,190.36802108695002,4.8851389367588745,5.840387129487182e-05,0.0002216547337583135
solvia_515,2,-22.041447265825635,-14.05552322388437,7.985924041941265,13.348436989995662,56.79209819578762,4.254587877093921,5.151638781333305e-06,2.0386697678047937e-05
solvia_1743,2,-17.207581075979558,-11.752870750796715,5.454710325182843,11.573977851109426,149.98155550230786,12.958514128133686,1.7235734869195254e-05,8.612760852068649e-05
solvia_527,2,-27.78795701614629,-22.66869356323003,5.119263452916261,176.41203971083806,956.800579929008,5.423669390690833,0.00020266900698465807,0.0018836720576866713
solvia_14,2,-26.025248719299384,-20.97232867346517,5.052920045834213,191.39608248326405,820.8799775868991,4.288906893685653,0.0005557907220468578,0.0005596964021423696
solvia_1564,2,-18.019156812671195,-13.638109978860314,4.381046833810881,16.311161493649223,225.86538842276244,13.847290305518923,1.53609394994889e-05,0.00019232991379898728
solvia_1,2,-15.163636355920502,-10.820923038395197,4.342713317525305,15.139455608709719,53.95547765858474,3.563898138288684,1.3351871757174446e-05,2.4782016245955838e-05
solvia_617,2,-21.320404854626158,-17.529455825090405,3.790949029535753,9.522053196300947,74.39670361371141,7.813094726525206,4.092286111438946e-06,8.134943550834238e-05
solvia_164,2,-27.785190012987435,-24.166579940735215,3.6186100722522205,555.6260721195483,1129.0062963612309,2.031953417978403,0.00047417764884517545,0.0018761889323532857
solvia_1125,2,-10.673783575580936,-7.121267764845952,3.5525158107349837,3.4134334838654645,8.332808975409908,2.441181002880891,3.6494998929884637e-06,4.933893015782404e-06
solvia_12,2,-15.193602817756664,-11.78461534749604,3.408987470260625,23.253352131237573,49.9937298944268,2.149957976478898,1.7545669876105106e-05,7.527529845679364e-05
solvia_624,2,-22.536805566884823,-19.257132730644056,3.279672836240767,116.35009071474958,344.68519111285656,2.9624832176358686,9.557870452470616e-05,0.0003880289351815725
solvia_8,2,-20.61263912908929,-18.264083310989072,2.348555818100216,29.14391134382871,95.37146614879238,3.2724319335052985,3.761753056752546e-05,0.00020135729051786003
solvia_215,2,-22.421961999749776,-20.526826072452682,1.895135927297094,206.76654307353328,268.00115717193404,1.296153396909207,0.0002922181386095077,0.00044124797991246104
solvia_850,2,-23.777669629630974,-22.171869279550602,1.6058003500803721,19.897163187662557,77.54371157132557,3.8972244857200224,2.6775044016316474e-05,0.00010201457056573294
solvia_126,2,-28.200252557684852,-26.822038487824972,1.3782140698598795,258.65128019590406,384.4849589237435,1.4864993462724492,0.00013397945447944092,0.00022902736472289235
solvia_482,2,-28.376970544662743,-27.04724201744737,1.329728527215373,306.5318018355163,615.9408649516724,2.0093865017052415,0.00022169673313595864,0.0003123727093452151
solvia_32,2,-23.222387492614367,-22.019146746723976,1.2032407458903904,88.95987529760437,176.32694300046956,1.9820952132699081,4.9586131684798634e-05,0.00015792126306781354
solvia_490,2,-13.587009340255628,-12.462845243072875,1.124164097182753,9.513576884825927,13.544514806738418,1.4237037205577012,1.0795370903470075e-05,1.1670513946272681e-05
solvia_68,2,-6.3416392611467405,-5.3177963463902636,1.023842914756477,1.148015156842126,2.3287678968467143,2.0285166820031493,7.293044401293047e-07,1.7870771374138001e-06
solvia_1045,2,-18.48534392720567,-17.88639408906038,0.5989498381452876,5.207435272182483,10.6407236123001,2.043371267453215,3.1503097928321685e-06,1.1785680179637309e-05
solvia_1023,2,-23.58556272878739,-23.028285892971606,0.5572768358157845,46.565066268163505,91.25855866163269,1.9598073400364961,4.8020439265895736e-05,8.594598180535866e-05
solvia_941,2,-28.127711997380953,-28.011217258485072,0.1164947388958808,345.450832471292,743.402854144922,2.15197876012269,0.00032484186773083844,0.000555392226289832
