run,tag,status,reasons,min_ess,required_ess,ess_fail_centers,min_overlap,overlap_fail_pairs,replicate_conflicts,tilt_span,tilt_slope
solvia_1023_run_1,pmf_midplane,resimulate,"ess_margin,replicate_conflict",150.0,150.0,,0.286,,z=0.9→1;z=1.5→1,11.8,10.71
solvia_1023_run_2,pmf_midplane,resimulate,"ess_margin,replicate_conflict,tilted_pmf",166.0,150.0,,0.287,,z=0.0→1;z=0.9→1,12.9,10.43
solvia_1045_run_1,pmf_midplane,resimulate,"ess_margin,replicate_conflict",185.0,150.0,,0.342,,z=0.05→1,7.2,5.27
solvia_1045_run_2,pmf_midplane,resimulate,"ess_margin,replicate_conflict",189.0,150.0,,0.228,,z=0.0→1;z=0.4→1;z=0.5→1,6.0,3.53
solvia_1125_run_1,pmf_midplane,review,ess_margin,157.0,150.0,,0.331,,,11.2,9.14
solvia_1125_run_2,pmf_midplane,ok,,202.0,150.0,,0.239,,,11.3,11.14
solvia_126_run_1,pmf_midplane,resimulate,"low_ess,replicate_conflict,tilted_pmf",206.0,150.0,0.40;0.20,0.266,,z=0.3→2;z=0.5→2,27.4,26.86
solvia_126_run_2,pmf_midplane,resimulate,"replicate_conflict,tilted_pmf",226.0,150.0,,0.297,,z=0.4→3;z=2.4→1,21.6,22.68
solvia_12_run_1,pmf_midplane,resimulate,"ess_margin,replicate_conflict,tilted_pmf",151.0,150.0,,0.207,,z=2.8→1,13.7,15.95
solvia_12_run_2,pmf_midplane,resimulate,"ess_margin,replicate_conflict,tilted_pmf",166.0,150.0,,0.256,,z=2.3→1,15.9,15.83
solvia_14_run_1,pmf_midplane,resimulate,"low_ess,replicate_conflict,tilted_pmf",206.0,150.0,0.40;0.10,0.186,,z=0.0→3;z=0.1→2;z=0.2→3;z=0.4→3;z=0.5→1;z=1.15→1;z=1.4→1;z=2.7→1,17.4,11.99
solvia_14_run_2,pmf_midplane,resimulate,"low_ess,replicate_conflict,tilted_pmf",37.0,150.0,2.60;2.40;2.30;2.20;1.60;1.40;1.30;1.20;1.05;1.00;0.95;0.50;0.40;0.30;0.20;0.10,0.302,,z=0.2→1;z=0.4→1;z=0.95→1,18.5,18.03
solvia_1564_run_1,pmf_midplane,resimulate,"ess_margin,replicate_conflict,tilted_pmf",176.0,150.0,,0.257,,z=0.1→1;z=0.3→1;z=0.55→1,23.7,21.46
solvia_1564_run_2,pmf_midplane,resimulate,"ess_margin,replicate_conflict,tilted_pmf",179.0,150.0,,0.278,,z=0.1→1;z=0.3→1;z=2.3→1,19.4,17.57
solvia_1_run_1,pmf_midplane,resimulate,"ess_margin,replicate_conflict,tilted_pmf",165.0,150.0,,0.264,,z=0.05→1;z=0.7→1;z=2.3→1,21.1,16.63
solvia_1_run_2,pmf_midplane,resimulate,"low_ess,tilted_pmf",47.0,150.0,3.00;2.20;0.30,0.253,,,17.2,18.72
solvia_215_run_1,pmf_midplane,resimulate,"replicate_conflict,tilted_pmf",202.0,150.0,,0.290,,z=0.2→1;z=0.3→2;z=0.4→3;z=0.7→2,16.1,14.86
solvia_215_run_2,pmf_midplane,resimulate,"ess_margin,replicate_conflict,tilted_pmf",178.0,150.0,,0.224,,z=0.4→1;z=0.6→1;z=1.6→1,25.6,29.00
solvia_32_run_1,pmf_midplane,resimulate,"ess_margin,replicate_conflict,tilted_pmf",184.0,150.0,,0.208,,z=0.5→2;z=0.8→1;z=1.6→3;z=1.7→1;z=2.0→1;z=2.6→1;z=2.8→1,19.7,19.33
